Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-96.00751950368046, 30.002190553779744)",484737000000.0,0.015947287,0.39672002,0.074360338,0.684540438,0.180586992,0.590719591,0.210404723,0.60652634,6196,5.0,0.6636675235646958,0.44897959185922537,0.6089399441790438
"(-96.00839727014731, 30.27205968012043)",481852000000.0,0.01764324,0.139125976,0.085888887,0.457034682,0.199817534,0.207049913,0.243058499,0.404818887,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.628652598168029
"(-96.0086146638481, 30.03273037738677)",484737000000.0,0.022745704,0.366494926,0.043890098,0.656733431,0.25767477,0.545701268,0.124099988,0.581872544,6196,5.0,0.6636675235646958,0.44897959185922537,0.5964117355703482
"(-96.0092501147893, 30.541766038861486)",481852000000.0,0.008927972,0.164135232,0.034653027,0.308002399,0.100994424,0.244299583,0.097936659,0.272686309,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.7136751057332464
"(-96.00933477057124, 31.08412275782604)",482900000000.0,0.007678449,0.172384031,0.046511567,0.554069876,0.086825991,0.256585636,0.131525109,0.490850653,2435,7.666666667,0.26081833761782347,0.775510204131612,0.6438808546783873
"(-96.0104066154155, 30.43395322905036)",481852000000.0,0.01168883,0.079057768,0.05722405,0.349420542,0.132300016,0.117582199,0.161867436,0.309407789,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6927433679506378
"(-96.01060186181621, 30.092659400125218)",484737000000.0,0.002043404,0.307411092,0.016821474,0.60302177,0.022929771,0.457699716,0.047430084,0.534251585,6196,5.0,0.6636675235646958,0.44897959185922537,0.7017856103529568
"(-96.01096226827933, 29.977419304444133)",484737000000.0,0.015117317,0.40248899,0.099245432,0.705428307,0.1711759,0.599312099,0.28088994,0.625045603,6196,5.0,0.6636675235646958,0.44897959185922537,0.6023337227442613
"(-96.01175305489008, 30.178503363311243)",484737000000.0,0.009086573,0.224087657,0.054074087,0.529377643,0.10279282,0.333594845,0.152945395,0.468958427,6196,5.0,0.6636675235646958,0.44897959185922537,0.6975260639181744
"(-96.01181771923314, 30.0844831453327)",484737000000.0,0.002275374,0.315137791,0.009959142,0.609557692,0.025560089,0.469208135,0.027993029,0.540046357,6196,5.0,0.6636675235646958,0.44897959185922537,0.6991998675703482
"(-96.01233035624956, 30.087747962897243)",484737000000.0,0.000607036,0.311838062,0.012968252,0.60645582,0.006642673,0.464293401,0.036516113,0.537296226,6196,5.0,0.6636675235646958,0.44897959185922537,0.7065795208746961
"(-96.01389139145748, 30.610285932549452)",481852000000.0,0.003446463,0.226842405,0.058012986,0.294030912,0.038839168,0.337697864,0.164102039,0.260299136,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.7326653566462898
"(-96.01422656115828, 30.32776590898881)",481852000000.0,0.006660192,0.090832014,0.070175144,0.412381707,0.075279887,0.135119178,0.198550466,0.365229393,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6908028545158551
"(-96.01447067856907, 31.430947911757187)",482900000000.0,0.013818142,0.499306495,0.062800209,0.864777469,0.156444445,0.743515515,0.177661502,0.766325165,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5006717242436046
"(-96.01464412860342, 29.850865626079624)",484737000000.0,0.009545514,0.46125685,0.065273173,0.819762959,0.107996783,0.686843029,0.184665992,0.726415133,6196,5.0,0.6636675235646958,0.44897959185922537,0.5894280581355656
"(-96.01531420307907, 29.856449087449814)",484737000000.0,0.008313987,0.457412044,0.06312131,0.814374543,0.094032402,0.681116438,0.178570996,0.721637742,6196,5.0,0.6636675235646958,0.44897959185922537,0.5964609173964351
"(-96.0155512706977, 30.154681897474347)",484737000000.0,0.014310748,0.24596182,0.055687355,0.547248288,0.162030141,0.366174997,0.15751486,0.484802607,6196,5.0,0.6636675235646958,0.44897959185922537,0.6697955584833917
"(-96.01606162541172, 30.73042522997714)",481852000000.0,0.006142152,0.236579476,0.173714462,0.3129255,0.069405792,0.352200602,0.491818039,0.277051148,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.7013276250810725
"(-96.01610560442748, 31.367776735011994)",482900000000.0,0.001879577,0.438087739,0.099321145,0.805151023,0.021072117,0.652334135,0.281104389,0.713460135,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5656124788957784
"(-96.01638435913256, 30.4811732771972)",481852000000.0,0.013021285,0.10775873,0.029041544,0.321691641,0.147408827,0.160330427,0.082042543,0.284823242,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6976513050375942
"(-96.01650997009678, 30.117259530423954)",484737000000.0,0.00352295,0.282114673,0.031137369,0.578747677,0.039706456,0.420022335,0.087978815,0.512730083,6196,5.0,0.6636675235646958,0.44897959185922537,0.7033111401790438
"(-96.01659065453785, 30.384767461972295)",481852000000.0,0.010129236,0.061720279,0.049932213,0.372710667,0.114615658,0.09175913,0.141213841,0.3300569,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6937328740375943
"(-96.02071522982014, 31.265365869885972)",482900000000.0,0.007453646,0.341002788,0.030323664,0.708788676,0.084276922,0.507732376,0.085674055,0.628024919,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5881287998088219
"(-96.02072740539953, 31.504542000673613)",482900000000.0,0.011720543,0.572674317,0.06182018,0.931340284,0.132659612,0.852792144,0.174885639,0.825340006,2435,7.666666667,0.26081833761782347,0.775510204131612,0.48378734033056103
"(-96.0213155269826, 29.785344130212412)",484737000000.0,0.004656497,0.498139958,0.05567477,0.877827876,0.052559836,0.741778034,0.157479213,0.777895705,6196,5.0,0.6636675235646958,0.44897959185922537,0.5895977439616524
"(-96.02210875550499, 30.83539521711131)",481852000000.0,0.026180015,0.154210174,0.119418078,0.359431022,0.296616701,0.229516851,0.338027488,0.318283118,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6199768107332464
"(-96.02212571109261, 29.765690483539053)",484737000000.0,0.005233732,0.511187183,0.053391169,0.895877618,0.059105145,0.761211032,0.15101108,0.793898673,6196,5.0,0.6636675235646958,0.44897959185922537,0.5811911752225221
"(-96.02234143519894, 31.37840750402528)",482900000000.0,0.001182012,0.4499168,0.087072685,0.812857427,0.013162377,0.669952757,0.24641152,0.720292662,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5667295202436047
